pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
657746_778144_37_6,657746,"Ryan, Joe",ST,Sweeper,2025,swinging_strike,2025-04-27 00:00:00,6,Top,0,2,2,79.5,2935,-2.56,4.75,6.7,2.54,-0.48,-5.76,30.48,5.76,30.48,2935,1.4675,31.019477751890022,29.55197775189002,29.55197775189002,29.663999999999998,-10.701350723899148,1,7.477212081508637,153.9727149400578
622663_777957_2_9,622663,"Severino, Luis",ST,Sweeper,2025,swinging_strike,2025-05-11 00:00:00,1,Top,1,3,2,84.7,2657,-2.08,5.65,6.0,2.35,-0.06,-0.72,28.200000000000003,0.72,28.200000000000003,2657,1.3285,28.209189991915757,26.88068999191576,26.88068999191576,32.976000000000006,-1.4625532190978505,1,6.874279979100024,147.62036895475177
677865_777448_72_5,677865,"Bruihl, Justin",SI,Sinker,2025,swinging_strike,2025-06-19 00:00:00,9,Top,0,3,1,90.0,2175,3.31,5.13,6.8,2.38,0.35,4.199999999999999,28.56,4.199999999999999,28.56,2175,1.0875000000000001,28.8671716660985,27.7796716660985,27.7796716660985,29.232,8.365886124032588,1,6.776227397838715,146.58731080701682
642207_778355_78_3,642207,"Williams, Devin",CH,Changeup,2025,swinging_strike,2025-04-12 00:00:00,9,Top,0,0,2,84.5,2672,-2.32,5.2,7.3,-2.13,-0.1,-1.2000000000000002,-25.56,1.2000000000000002,25.56,2672,1.336,25.588153508997088,24.25215350899709,24.25215350899709,29.232,-177.31203103439643,1,6.627775006319464,145.02325251668995
701542_777337_11_1,701542,"Warren, Will",ST,Sweeper,2025,swinging_strike,2025-06-27 00:00:00,2,Top,1,0,0,81.0,3019,-2.59,5.73,6.6,2.31,-0.14,-1.6800000000000002,27.72,1.6800000000000002,27.72,3019,1.5095,27.770862428091785,26.261362428091786,26.261362428091786,31.247999999999998,-3.468229258917148,1,6.577585837525651,144.4944716413317
689690_778545_27_1,689690,"Jacob, Alek",CH,Changeup,2025,called_strike,2025-03-27 00:00:00,3,Top,2,0,0,73.3,2231,-2.45,3.73,7.1,-2.09,-0.05,-0.6000000000000001,-25.08,0.6000000000000001,25.08,2231,1.1155,25.0871760068765,23.9716760068765,23.9716760068765,29.375999999999994,-178.6295489822004,1,6.560041844463263,144.30963239749167
677865_777448_63_1,677865,"Bruihl, Justin",ST,Sweeper,2025,called_strike,2025-06-19 00:00:00,8,Top,1,0,0,78.3,2498,3.26,5.1,6.6,-2.15,-0.27,-3.24,-25.799999999999997,3.24,25.799999999999997,2498,1.249,26.002646019203507,24.753646019203508,24.753646019203508,27.071999999999992,-172.8421869863842,1,6.485803007829742,143.5274700711554
642232_777835_3_2,642232,"Yarbrough, Ryan",CH,Changeup,2025,swinging_strike,2025-05-21 00:00:00,1,Top,2,0,1,78.4,1978,3.29,4.95,6.4,2.26,0.13,1.56,27.119999999999997,1.56,27.119999999999997,1978,0.989,27.164830203776347,26.175830203776346,26.175830203776346,30.671999999999997,3.292147112996009,1,6.400514783337436,142.6288940817807
642207_778355_79_5,642207,"Williams, Devin",CH,Changeup,2025,swinging_strike,2025-04-12 00:00:00,9,Top,1,2,2,85.1,2779,-2.34,5.11,7.2,-2.16,-0.4,-4.800000000000001,-25.92,4.800000000000001,25.92,2779,1.3895,26.360698018072284,24.971198018072286,24.971198018072286,25.344,-169.5085229876684,1,6.357639331015421,142.1771687443208
642207_777818_57_5,642207,"Williams, Devin",CH,Changeup,2025,swinging_strike,2025-05-22 00:00:00,8,Top,1,2,2,83.6,2811,-2.33,5.19,7.5,-2.15,-0.4,-4.800000000000001,-25.799999999999997,4.800000000000001,25.799999999999997,2811,1.4055,26.24271327435484,24.83721327435484,24.83721327435484,25.199999999999996,-169.46081627137178,1,6.3107480774423195,141.68313390160614
